"","species","les","Length","Diet.Class.1","Diet.Class.2","Diet.Class.3","Home.Range","Schooling","Level","Activity","period","depth.group","haul","total","vul","resilience","mean.tmp","min.tmp","max.tmp","range.tmp"
"1943","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2000","M","50",3,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1944","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","224",4,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1945","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","155",50,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1946","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","270",232,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1947","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","M","208",1,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1948","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","227",33,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1949","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","M","192",2,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1950","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","MD","160",3,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1951","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","M","86",7,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1952","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","225",27,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1953","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","M","133",39,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1954","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","139",32,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1955","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","M","89",4,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1956","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","M","188",1,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1957","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","256",28,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1958","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","128",8,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1959","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","118",10,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1960","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","255",64,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1961","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","126",7,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1962","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2000","D","11",46,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1963","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","M","283",1,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1964","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","M","157",8,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1965","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","123",56,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1966","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","M","87",9,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1967","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","190",1,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1968","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","156",8,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1969","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","D","233",12,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1970","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","122",1,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1971","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","D","268",8,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1972","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2000","M","73",57,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1973","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","25",4,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1974","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2000","M","70",12,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1975","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","D","226",113,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1976","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","D","222",12,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1977","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","D","168",44,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1978","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","D","272",104,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1979","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","D","236",46,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1980","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2000","D","26",27,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1981","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","M","132",43,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1982","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","D","234",21,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1983","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","239",172,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1984","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2000","M","10",6,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1985","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","2008-12","D","127",41,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1986","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","D","167",47,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1987","Dentex macrophthalmus",0,"65","C","","","W","S","H","D","1990-4","M","184",4,51,"medium",23.7093050234061,9.63199996948242,33.8499984741211,17.8250007629395
"1988","Dentex maroccanus",0,"45","C","","","W","S","H","D","1990-4","D","291",4,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1989","Dentex maroccanus",0,"45","C","","","W","S","H","D","1990-4","D","296",13,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1990","Dentex maroccanus",0,"45","C","","","W","S","H","D","1990-4","D","100",1,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1991","Dentex maroccanus",0,"45","C","","","W","S","H","D","2008-12","D","190",9,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1992","Dentex maroccanus",0,"45","C","","","W","S","H","D","2008-12","D","177",130,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1993","Dentex maroccanus",0,"45","C","","","W","S","H","D","2008-12","D","188",80,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1994","Dentex maroccanus",0,"45","C","","","W","S","H","D","2008-12","D","189",46,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1995","Dentex maroccanus",0,"45","C","","","W","S","H","D","1990-4","D","270",1,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1996","Dentex maroccanus",0,"45","C","","","W","S","H","D","2000","M","1",3,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1997","Dentex maroccanus",0,"45","C","","","W","S","H","D","1990-4","M","294",1,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1998","Dentex maroccanus",0,"45","C","","","W","S","H","D","2008-12","D","185",77,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"1999","Dentex maroccanus",0,"45","C","","","W","S","H","D","2008-12","M","199",1,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"2000","Dentex maroccanus",0,"45","C","","","W","S","H","D","2008-12","D","176",15,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"2001","Dentex maroccanus",0,"45","C","","","W","S","H","D","1990-4","D","295",11,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"2002","Dentex maroccanus",0,"45","C","","","W","S","H","D","1990-4","M","298",1,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"2003","Dentex maroccanus",0,"45","C","","","W","S","H","D","1990-4","D","265",1,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"2004","Dentex maroccanus",0,"45","C","","","W","S","H","D","1990-4","MD","267",5,47,"medium",22.631824607598,0.340000003576279,33.7150001525879,26.2369995117188
"2005","Diaphus rafinesquii",0,"9","Z","","","W","S","H","N","2008-12","D","224",1,29,"high",21.3431720415303,-1.78799998760223,33.8499984741211,26.4190006256104
"2006","Diaphus rafinesquii",0,"9","Z","","","W","S","H","N","2008-12","D","138",1,29,"high",21.3431720415303,-1.78799998760223,33.8499984741211,26.4190006256104
"2007","Dicentrarchus labrax",0,"103","C","P","","W","S","L","D","2000","M","65",1,49,"low",16.4070740031098,-1.95000004768372,31.0499992370605,26.4950008392334
"2008","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","286",8,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2009","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","S","243",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2010","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","M","95",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2011","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","M","138",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2012","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","305",5,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2013","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","146",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2014","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","309",15,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2015","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","M","137",2,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2016","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","304",5,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2017","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","145",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2018","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","M","77",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2019","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","195",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2020","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","313",5,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2021","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","288",3,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2022","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","308",2,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2023","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","M","64",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2024","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","108",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2025","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","S","71",2,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2026","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","99",2,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2027","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","M","9",3,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2028","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","104",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2029","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","S","132",3,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2030","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","S","5",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2031","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","M","211",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2032","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","M","205",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2033","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","M","303",2,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2034","Diplodus annularis",0,"24","C","C","","W","F","H","D","2008-12","S","269",2,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2035","Diplodus annularis",0,"24","C","C","","W","F","H","D","1990-4","S","300",1,27,"medium",22.3147283415974,0.0399999991059303,33.8499984741211,27.6299991607666
"2036","Diplodus cervinus cervinus",0,"55","C","C","","W","F","L","D","2008-12","S","70",3,69,"low",22.3148208758451,-1.02499997615814,33.8499984741211,29.4130001068115
"2037","Diplodus cervinus cervinus",0,"55","C","C","","W","F","L","D","2000","M","65",5,69,"low",22.3148208758451,-1.02499997615814,33.8499984741211,29.4130001068115
"2038","Diplodus cervinus cervinus",0,"55","C","C","","W","F","L","D","2000","S","79",3,69,"low",22.3148208758451,-1.02499997615814,33.8499984741211,29.4130001068115
"2039","Diplodus puntazzo",0,"60","C","C","","W","M","L","D","2008-12","S","165",1,34,"medium",19.8706950867148,0.340000003576279,32.2050018310547,26.2369995117188
"2040","Diplodus puntazzo",0,"60","C","C","","W","M","L","D","2000","S","5",9,34,"medium",19.8706950867148,0.340000003576279,32.2050018310547,26.2369995117188
"2041","Diplodus puntazzo",0,"60","C","C","","W","M","L","D","1990-4","S","18",2,34,"medium",19.8706950867148,0.340000003576279,32.2050018310547,26.2369995117188
"2042","Diplodus puntazzo",0,"60","C","C","","W","M","L","D","2008-12","S","230",2,34,"medium",19.8706950867148,0.340000003576279,32.2050018310547,26.2369995117188
"2043","Diplodus puntazzo",0,"60","C","C","","W","M","L","D","1990-4","S","224",1,34,"medium",19.8706950867148,0.340000003576279,32.2050018310547,26.2369995117188
"2044","Diplodus puntazzo",0,"60","C","C","","W","M","L","D","1990-4","S","23",1,34,"medium",19.8706950867148,0.340000003576279,32.2050018310547,26.2369995117188
"2045","Diplodus puntazzo",0,"60","C","C","","W","M","L","D","1990-4","S","22",2,34,"medium",19.8706950867148,0.340000003576279,32.2050018310547,26.2369995117188
"2046","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2000","S","71",5,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2047","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","1990-4","S","104",6,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2048","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","1990-4","S","99",3,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2049","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2008-12","S","151",3,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2050","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","1990-4","S","300",9,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2051","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","1990-4","S","217",1,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2052","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","1990-4","S","108",3,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2053","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2008-12","S","248",8,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2054","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2000","S","6",3,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2055","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2000","S","56",12,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2056","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2008-12","S","107",1,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2057","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","1990-4","S","224",1,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2058","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2000","S","5",36,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2059","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2000","M","57",2,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2060","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2008-12","S","86",1,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2061","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2000","M","2",9,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2062","Diplodus sargus sargus",0,"45","C","C","","W","F","H","D","2000","S","62",2,63,"medium",22.1426793830407,-1.58500003814697,33.8499984741211,29.4130001068115
"2063","Diplodus vulgaris",0,"45","C","","","W","F","L","D","2008-12","M","104",2,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2064","Diplodus vulgaris",0,"45","C","","","W","F","L","D","2008-12","M","95",1,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2065","Diplodus vulgaris",0,"45","C","","","W","F","L","D","1990-4","S","19",3,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2066","Diplodus vulgaris",0,"45","C","","","W","F","L","D","1990-4","S","142",1,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2067","Diplodus vulgaris",0,"45","C","","","W","F","L","D","2008-12","S","152",2,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2068","Diplodus vulgaris",0,"45","C","","","W","F","L","D","1990-4","S","217",4,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2069","Diplodus vulgaris",0,"45","C","","","W","F","L","D","2000","S","72",3,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2070","Diplodus vulgaris",0,"45","C","","","W","F","L","D","2008-12","S","103",8,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2071","Diplodus vulgaris",0,"45","C","","","W","F","L","D","2008-12","S","82",3,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2072","Diplodus vulgaris",0,"45","C","","","W","F","L","D","1990-4","M","303",1,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2073","Diplodus vulgaris",0,"45","C","","","W","F","L","D","2008-12","S","6",1,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2074","Diplodus vulgaris",0,"45","C","","","W","F","L","D","1990-4","S","26",6,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2075","Diplodus vulgaris",0,"45","C","","","W","F","L","D","2008-12","S","151",1,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2076","Diplodus vulgaris",0,"45","C","","","W","F","L","D","1990-4","S","141",2,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2077","Diplodus vulgaris",0,"45","C","","","W","F","L","D","1990-4","S","99",1,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2078","Diplodus vulgaris",0,"45","C","","","W","F","L","D","2008-12","D","102",1,66,"medium",19.9973860631128,0.340000003576279,32.2050018310547,26.2369995117188
"2079","Dipturus oxyrinchus",0,"150","C","","","W","S","B","D","2008-12","D","123",2,77,"low",17.341071731236,-1.95000004768372,33.4199981689453,26.4190006256104
"2080","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","S","182",1,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2081","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","175",24,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2082","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","56",6,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2083","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","180",6,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2084","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","57",1,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2085","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2000","M","29",5,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2086","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","D","168",9,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2087","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","D","188",1,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2088","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","D","167",2,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2089","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","1990-4","M","303",2,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2090","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2000","D","26",3,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2091","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","148",1,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2092","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","55",49,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2093","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","161",232,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2094","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","141",8,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2095","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","99",2,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2096","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2000","M","27",7,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2097","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","1990-4","S","304",1,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2098","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","264",1,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2099","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","S","165",1,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2100","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","158",6,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2101","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2000","M","21",2,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2102","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","184",35,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2103","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","1990-4","D","287",1,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2104","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","1990-4","S","308",19,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2105","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","145",23,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2106","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","S","285",1,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2107","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","157",28,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2108","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","2008-12","M","214",1,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2109","Dussumieria elopsoides",1,"20","Z","","","W","L","H","D","1990-4","S","286",13,24,"high",27.6026167213193,-1.02499997615814,34.7150001525879,29.4130001068115
"2110","Echelus myrus",0,"100","P","","","S","S","B","D","2008-12","M","65",3,49,"medium",23.1882652444792,9.99499988555908,33.8499984741211,17.55299949646
"2111","Echelus myrus",0,"100","P","","","S","S","B","D","2008-12","M","160",1,49,"medium",23.1882652444792,9.99499988555908,33.8499984741211,17.55299949646
"2112","Echelus myrus",0,"100","P","","","S","S","B","D","2008-12","D","209",1,49,"medium",23.1882652444792,9.99499988555908,33.8499984741211,17.55299949646
