"","species","les","Length","Diet.Class.1","Diet.Class.2","Diet.Class.3","Home.Range","Schooling","Level","Activity","period","depth.group","haul","total","vul","resilience","mean.tmp","min.tmp","max.tmp","range.tmp"
"40","Alepes djedaba",1,"40","Z","P","","W","L","H","D","1990-4","M","292",2,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"41","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","S","82",4,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"42","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","M","250",2,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"43","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2000","S","62",9,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"44","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","M","249",2,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"45","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","S","71",23,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"46","Alepes djedaba",1,"40","Z","P","","W","L","H","D","1990-4","M","7",22,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"47","Alepes djedaba",1,"40","Z","P","","W","L","H","D","1990-4","M","42",1,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"48","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","S","153",1,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"49","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2000","S","53",26,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"50","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","S","183",2,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"51","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","S","257",9,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"52","Alepes djedaba",1,"40","Z","P","","W","L","H","D","1990-4","S","305",9,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"53","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","M","62",2,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"54","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","M","259",2,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"55","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2000","S","71",2,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"56","Alepes djedaba",1,"40","Z","P","","W","L","H","D","1990-4","SM","314",66,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"57","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","M","184",14,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
"58","Alepes djedaba",1,"40","Z","P","","W","L","H","D","2008-12","S","83",9,25,"high",27.7503192461563,-1.02499997615814,37.5999984741211,29.4130001068115
