%Date	Daily Average Bottom Temperaure C (deg)-26 m. depth
2006 03 23 00 00 00	17.92
2006 03 24 00 00 00	17.90
2006 03 25 00 00 00	18.36
2006 03 26 00 00 00	18.56
2006 03 27 00 00 00	18.36
2006 03 28 00 00 00	18.28
2006 03 29 00 00 00	18.06
2006 03 30 00 00 00	18.10
2006 03 31 00 00 00	18.16
2006 04 01 00 00 00	18.12
2006 04 02 00 00 00	18.48
2006 04 03 00 00 00	18.47
2006 04 04 00 00 00	18.64
2006 04 05 00 00 00	18.67
2006 04 06 00 00 00	18.86
2006 04 07 00 00 00	19.02
2006 04 08 00 00 00	18.74
2006 04 09 00 00 00	18.93
2006 04 10 00 00 00	19.03
2006 04 11 00 00 00	19.04
2006 04 12 00 00 00	19.10
2006 04 13 00 00 00	18.92
2006 04 14 00 00 00	18.51
2006 04 15 00 00 00	-1000.00
2006 04 16 00 00 00	19.78
2006 04 17 00 00 00	19.86
2006 04 18 00 00 00	19.79
2006 04 19 00 00 00	19.84
2006 04 20 00 00 00	19.66
2006 04 21 00 00 00	19.83
2006 04 22 00 00 00	19.96
2006 04 23 00 00 00	20.23
2006 04 24 00 00 00	20.55
2006 04 25 00 00 00	20.61
2006 04 26 00 00 00	20.47
2006 04 27 00 00 00	20.37
2006 04 28 00 00 00	20.15
2006 04 29 00 00 00	20.06
2006 04 30 00 00 00	19.84
2006 05 01 00 00 00	19.95
2006 05 02 00 00 00	19.29
2006 05 03 00 00 00	18.51
2006 05 04 00 00 00	18.34
2006 05 05 00 00 00	18.27
2006 05 06 00 00 00	18.31
2006 05 07 00 00 00	18.21
2006 05 08 00 00 00	17.77
2006 05 09 00 00 00	17.82
2006 05 10 00 00 00	18.19
2006 05 11 00 00 00	18.58
2006 05 12 00 00 00	18.41
2006 05 13 00 00 00	18.42
2006 05 14 00 00 00	18.62
2006 05 15 00 00 00	18.80
2006 05 16 00 00 00	19.55
2006 05 17 00 00 00	20.69
2006 05 18 00 00 00	21.09
2006 05 19 00 00 00	21.38
2006 05 20 00 00 00	21.07
2006 05 21 00 00 00	21.52
2006 05 22 00 00 00	21.85
2006 05 23 00 00 00	22.19
2006 05 24 00 00 00	21.90
2006 05 25 00 00 00	21.85
2006 05 26 00 00 00	22.04
2006 05 27 00 00 00	-1000.00
2006 05 28 00 00 00	22.22
2006 05 29 00 00 00	22.45
2006 05 30 00 00 00	22.46
2006 05 31 00 00 00	22.52
2006 06 01 00 00 00	22.83
2006 06 02 00 00 00	23.84
2006 06 03 00 00 00	24.35
2006 06 04 00 00 00	24.62
2006 06 05 00 00 00	23.94
2006 06 06 00 00 00	23.34
2006 06 07 00 00 00	23.92
2006 06 08 00 00 00	24.19
2006 06 09 00 00 00	23.35
2006 06 10 00 00 00	23.63
2006 06 11 00 00 00	23.75
2006 06 12 00 00 00	24.13
2006 06 13 00 00 00	24.05
2006 06 14 00 00 00	23.96
2006 06 15 00 00 00	23.64
2006 06 16 00 00 00	23.54
2006 06 17 00 00 00	23.30
2006 06 18 00 00 00	23.78
2006 06 19 00 00 00	24.97
2006 06 20 00 00 00	25.86
2006 06 21 00 00 00	25.17
2006 06 22 00 00 00	25.62
2006 06 23 00 00 00	26.47
2006 06 24 00 00 00	26.44
2006 06 25 00 00 00	27.23
2006 06 26 00 00 00	26.35
2006 06 27 00 00 00	26.63
2006 06 28 00 00 00	27.26
2006 06 29 00 00 00	27.31
2006 06 30 00 00 00	26.99
2006 07 01 00 00 00	27.73
2006 07 02 00 00 00	27.46
2006 07 03 00 00 00	27.63
2006 07 04 00 00 00	27.31
2006 07 05 00 00 00	27.45
2006 07 06 00 00 00	27.59
2006 07 07 00 00 00	27.55
2006 07 08 00 00 00	26.82
2006 07 09 00 00 00	26.56
2006 07 10 00 00 00	27.29
2006 07 11 00 00 00	27.78
2006 07 12 00 00 00	27.82
2006 07 13 00 00 00	28.20
2006 07 14 00 00 00	28.25
2006 07 15 00 00 00	28.08
2006 07 16 00 00 00	28.07
2006 07 17 00 00 00	27.90
2006 07 18 00 00 00	27.74
2006 07 19 00 00 00	28.79
2006 07 20 00 00 00	28.23
2006 07 21 00 00 00	28.35
2006 07 22 00 00 00	-1000.00
2006 07 23 00 00 00	28.39
2006 07 24 00 00 00	28.65
2006 07 25 00 00 00	27.76
2006 07 26 00 00 00	28.32
2006 07 27 00 00 00	28.50
2006 07 28 00 00 00	28.66
2006 07 29 00 00 00	28.69
2006 07 30 00 00 00	29.27
2006 07 31 00 00 00	29.28
2006 08 01 00 00 00	29.05
2006 08 02 00 00 00	28.93
2006 08 03 00 00 00	28.59
2006 08 04 00 00 00	28.91
2006 08 05 00 00 00	28.70
2006 08 06 00 00 00	28.70
2006 08 07 00 00 00	29.19
2006 08 08 00 00 00	28.84
2006 08 09 00 00 00	28.90
2006 08 10 00 00 00	28.00
2006 08 11 00 00 00	28.32
2006 08 12 00 00 00	28.97
2006 08 13 00 00 00	28.72
2006 08 14 00 00 00	28.88
2006 08 15 00 00 00	28.73
2006 08 16 00 00 00	28.92
2006 08 17 00 00 00	28.96
2006 08 18 00 00 00	28.82
2006 08 19 00 00 00	29.47
2006 08 20 00 00 00	28.96
2006 08 21 00 00 00	29.25
2006 08 22 00 00 00	29.68
2006 08 23 00 00 00	29.69
2006 08 24 00 00 00	29.95
2006 08 25 00 00 00	30.18
2006 08 26 00 00 00	29.52
2006 08 27 00 00 00	29.45
2006 08 28 00 00 00	29.68
2006 08 29 00 00 00	29.89
2006 08 30 00 00 00	29.58
2006 08 31 00 00 00	29.14
2006 09 01 00 00 00	29.07
2006 09 02 00 00 00	28.75
2006 09 03 00 00 00	29.63
2006 09 04 00 00 00	29.63
2006 09 05 00 00 00	29.15
2006 09 06 00 00 00	-1000.00
2006 09 07 00 00 00	29.63
2006 09 08 00 00 00	28.54
2006 09 09 00 00 00	28.92
2006 09 10 00 00 00	28.37
2006 09 11 00 00 00	28.19
2006 09 12 00 00 00	28.59
2006 09 13 00 00 00	28.44
2006 09 14 00 00 00	28.06
2006 09 15 00 00 00	28.00
2006 09 16 00 00 00	28.35
2006 09 17 00 00 00	28.51
2006 09 18 00 00 00	28.31
2006 09 19 00 00 00	27.85
2006 09 20 00 00 00	27.84
2006 09 21 00 00 00	28.05
2006 09 22 00 00 00	28.30
2006 09 23 00 00 00	28.38
2006 09 24 00 00 00	28.38
2006 09 25 00 00 00	28.47
2006 09 26 00 00 00	28.34
2006 09 27 00 00 00	28.32
2006 09 28 00 00 00	28.20
2006 09 29 00 00 00	27.83
2006 09 30 00 00 00	27.75
2006 10 01 00 00 00	27.91
2006 10 02 00 00 00	27.98
2006 10 03 00 00 00	28.00
2006 10 04 00 00 00	28.05
2006 10 05 00 00 00	27.99
2006 10 06 00 00 00	27.85
2006 10 07 00 00 00	27.83
2006 10 08 00 00 00	27.91
2006 10 09 00 00 00	27.89
2006 10 10 00 00 00	-1000.00
2006 10 11 00 00 00	27.58
2006 10 12 00 00 00	27.37
2006 10 13 00 00 00	27.32
2006 10 14 00 00 00	-1000.00
2006 10 15 00 00 00	27.33
2006 10 16 00 00 00	-1000.00
2006 10 17 00 00 00	-1000.00
2006 10 18 00 00 00	-1000.00
2006 10 19 00 00 00	-1000.00
2006 10 20 00 00 00	-1000.00
2006 10 21 00 00 00	-1000.00
2006 10 22 00 00 00	-1000.00
2006 10 23 00 00 00	-1000.00
2006 10 24 00 00 00	-1000.00
2006 10 25 00 00 00	-1000.00
2006 10 26 00 00 00	-1000.00
2006 10 27 00 00 00	-1000.00
2006 10 28 00 00 00	-1000.00
2006 10 29 00 00 00	25.29
2006 10 30 00 00 00	-1000.00
2006 10 31 00 00 00	-1000.00
2006 11 01 00 00 00	-1000.00
2006 11 02 00 00 00	-1000.00
2006 11 03 00 00 00	24.94
2006 11 04 00 00 00	24.90
2006 11 05 00 00 00	24.45
2006 11 06 00 00 00	23.65
2006 11 07 00 00 00	24.04
2006 11 08 00 00 00	24.14
2006 11 09 00 00 00	23.80
2006 11 10 00 00 00	23.76
2006 11 11 00 00 00	23.61
2006 11 12 00 00 00	23.60
2006 11 13 00 00 00	23.77
2006 11 14 00 00 00	23.55
2006 11 15 00 00 00	23.32
2006 11 16 00 00 00	23.38
2006 11 17 00 00 00	23.38
2006 11 18 00 00 00	-1000.00
2006 11 19 00 00 00	23.41
2006 11 20 00 00 00	23.27
2006 11 21 00 00 00	23.13
2006 11 22 00 00 00	22.93
2006 11 23 00 00 00	22.88
2006 11 24 00 00 00	22.88
2006 11 25 00 00 00	22.76
2006 11 26 00 00 00	22.53
2006 11 27 00 00 00	22.32
2006 11 28 00 00 00	22.32
2006 11 29 00 00 00	-1000.00
2006 11 30 00 00 00	22.09
2006 12 01 00 00 00	21.96
2006 12 02 00 00 00	21.81
2006 12 03 00 00 00	22.00
2006 12 04 00 00 00	21.45
2006 12 05 00 00 00	21.31
2006 12 06 00 00 00	21.41
2006 12 07 00 00 00	21.33
2006 12 08 00 00 00	21.23
2006 12 09 00 00 00	-1000.00
2006 12 10 00 00 00	20.84
2006 12 11 00 00 00	20.81
2006 12 12 00 00 00	20.83
2006 12 13 00 00 00	20.90
2006 12 14 00 00 00	20.86
2006 12 15 00 00 00	20.77
2006 12 16 00 00 00	20.48
2006 12 17 00 00 00	20.42
2006 12 18 00 00 00	20.39
2006 12 19 00 00 00	20.42
2006 12 20 00 00 00	20.38
2006 12 21 00 00 00	20.48
2006 12 22 00 00 00	20.31
2006 12 23 00 00 00	20.29
2006 12 24 00 00 00	20.21
2006 12 25 00 00 00	20.30
2006 12 26 00 00 00	20.14
2006 12 27 00 00 00	19.84
2006 12 28 00 00 00	18.37
2006 12 29 00 00 00	18.85
2006 12 30 00 00 00	19.01
2006 12 31 00 00 00	18.88
2007 01 01 00 00 00	19.01
2007 01 02 00 00 00	18.70
2007 01 03 00 00 00	18.50
2007 01 04 00 00 00	18.63
2007 01 05 00 00 00	18.92
2007 01 06 00 00 00	18.44
2007 01 07 00 00 00	18.45
2007 01 08 00 00 00	18.59
2007 01 09 00 00 00	18.45
2007 01 10 00 00 00	18.22
2007 01 11 00 00 00	18.08
2007 01 12 00 00 00	17.89
2007 01 13 00 00 00	17.98
2007 01 14 00 00 00	17.95
2007 01 15 00 00 00	17.97
2007 01 16 00 00 00	17.90
2007 01 17 00 00 00	18.28
2007 01 18 00 00 00	18.41
2007 01 19 00 00 00	18.35
2007 01 20 00 00 00	18.27
2007 01 21 00 00 00	17.99
2007 01 22 00 00 00	17.67
2007 01 23 00 00 00	17.85
2007 01 24 00 00 00	17.91
2007 01 25 00 00 00	17.83
2007 01 26 00 00 00	17.78
2007 01 27 00 00 00	18.07
2007 01 28 00 00 00	18.12
2007 01 29 00 00 00	17.95
2007 01 30 00 00 00	17.85
2007 01 31 00 00 00	17.70
2007 02 01 00 00 00	17.83
2007 02 02 00 00 00	17.98
2007 02 03 00 00 00	17.83
2007 02 04 00 00 00	17.43
2007 02 05 00 00 00	17.17
2007 02 06 00 00 00	16.86
2007 02 07 00 00 00	16.96
2007 02 08 00 00 00	17.29
2007 02 09 00 00 00	17.32
2007 02 10 00 00 00	17.46
2007 02 11 00 00 00	17.60
2007 02 12 00 00 00	17.62
2007 02 13 00 00 00	17.49
2007 02 14 00 00 00	17.47
2007 02 15 00 00 00	17.44
2007 02 16 00 00 00	17.38
2007 02 17 00 00 00	17.57
2007 02 18 00 00 00	17.63
2007 02 19 00 00 00	17.55
2007 02 20 00 00 00	17.65
2007 02 21 00 00 00	17.76
2007 02 22 00 00 00	17.80
2007 02 23 00 00 00	17.79
2007 02 24 00 00 00	17.82
2007 02 25 00 00 00	17.85
2007 02 26 00 00 00	17.78
2007 02 27 00 00 00	17.72
2007 02 28 00 00 00	17.77
2007 03 01 00 00 00	17.74
2007 03 02 00 00 00	17.68
2007 03 03 00 00 00	17.71
2007 03 04 00 00 00	17.76
2007 03 05 00 00 00	17.77
2007 03 06 00 00 00	17.94
2007 03 07 00 00 00	17.83
2007 03 08 00 00 00	17.87
2007 03 09 00 00 00	17.94
2007 03 10 00 00 00	17.93
2007 03 11 00 00 00	17.92
2007 03 12 00 00 00	18.11
2007 03 13 00 00 00	18.22
2007 03 14 00 00 00	18.08
2007 03 15 00 00 00	17.95
2007 03 16 00 00 00	17.79
2007 03 17 00 00 00	17.60
2007 03 18 00 00 00	17.78
2007 03 19 00 00 00	17.80
2007 03 20 00 00 00	17.76
2007 03 21 00 00 00	17.65
2007 03 22 00 00 00	17.64
2007 03 23 00 00 00	17.64
2007 03 24 00 00 00	17.80
2007 03 25 00 00 00	17.78
2007 03 26 00 00 00	17.86
2007 03 27 00 00 00	17.90
2007 03 28 00 00 00	18.07
2007 03 29 00 00 00	18.08
2007 03 30 00 00 00	17.98
2007 03 31 00 00 00	17.91
2007 04 01 00 00 00	18.06
2007 04 02 00 00 00	18.12
2007 04 03 00 00 00	18.28
2007 04 04 00 00 00	18.26
2007 04 05 00 00 00	18.16
2007 04 06 00 00 00	18.54
2007 04 07 00 00 00	18.28
2007 04 08 00 00 00	18.48
2007 04 09 00 00 00	18.77
2007 04 10 00 00 00	18.98
2007 04 11 00 00 00	19.34
2007 04 12 00 00 00	19.34
2007 04 13 00 00 00	19.11
2007 04 14 00 00 00	19.13
2007 04 15 00 00 00	19.51
2007 04 16 00 00 00	19.70
2007 04 17 00 00 00	19.51
2007 04 18 00 00 00	19.31
2007 04 19 00 00 00	19.52
2007 04 20 00 00 00	19.59
2007 04 21 00 00 00	19.61
2007 04 22 00 00 00	18.94
2007 04 23 00 00 00	18.52
2007 04 24 00 00 00	18.01
2007 04 25 00 00 00	17.64
2007 04 26 00 00 00	17.57
2007 04 27 00 00 00	17.84
2007 04 28 00 00 00	18.07
2007 04 29 00 00 00	18.12
2007 04 30 00 00 00	18.75
2007 05 01 00 00 00	19.15
2007 05 02 00 00 00	19.16
2007 05 03 00 00 00	18.99
2007 05 04 00 00 00	19.34
2007 05 05 00 00 00	19.59
2007 05 06 00 00 00	19.60
2007 05 07 00 00 00	19.94
2007 05 08 00 00 00	19.65
2007 05 09 00 00 00	19.43
2007 05 10 00 00 00	19.13
2007 05 11 00 00 00	19.58
2007 05 12 00 00 00	20.67
2007 05 13 00 00 00	21.55
2007 05 14 00 00 00	21.63
2007 05 15 00 00 00	21.68
2007 05 16 00 00 00	21.46
2007 05 17 00 00 00	21.61
2007 05 18 00 00 00	22.45
2007 05 19 00 00 00	22.21
2007 05 20 00 00 00	22.08
2007 05 21 00 00 00	21.64
2007 05 22 00 00 00	21.73
2007 05 23 00 00 00	21.27
2007 05 24 00 00 00	20.97
2007 05 25 00 00 00	20.11
2007 05 26 00 00 00	19.74
2007 05 27 00 00 00	20.52
2007 05 28 00 00 00	20.41
2007 05 29 00 00 00	20.60
2007 05 30 00 00 00	21.01
2007 05 31 00 00 00	21.49
2007 06 01 00 00 00	22.39
2007 06 02 00 00 00	22.46
2007 06 03 00 00 00	22.69
2007 06 04 00 00 00	22.41
2007 06 05 00 00 00	22.47
2007 06 06 00 00 00	22.75
2007 06 07 00 00 00	21.53
2007 06 08 00 00 00	-1000.00
2007 06 09 00 00 00	-1000.00
2007 06 10 00 00 00	24.01
2007 06 11 00 00 00	24.16
2007 06 12 00 00 00	24.73
2007 06 13 00 00 00	24.47
2007 06 14 00 00 00	24.76
2007 06 15 00 00 00	-1000.00
2007 06 16 00 00 00	25.63
2007 06 17 00 00 00	25.80
2007 06 18 00 00 00	25.81
2007 06 19 00 00 00	26.06
2007 06 20 00 00 00	25.97
2007 06 21 00 00 00	25.29
2007 06 22 00 00 00	26.23
2007 06 23 00 00 00	26.03
2007 06 24 00 00 00	25.73
2007 06 25 00 00 00	-1000.00
2007 06 26 00 00 00	-1000.00
2007 06 27 00 00 00	-1000.00
2007 06 28 00 00 00	-1000.00
2007 06 29 00 00 00	-1000.00
2007 06 30 00 00 00	-1000.00
2007 07 01 00 00 00	-1000.00
2007 07 02 00 00 00	-1000.00
2007 07 03 00 00 00	-1000.00
2007 07 04 00 00 00	-1000.00
2007 07 05 00 00 00	-1000.00
2007 07 06 00 00 00	-1000.00
2007 07 07 00 00 00	-1000.00
2007 07 08 00 00 00	-1000.00
2007 07 09 00 00 00	-1000.00
2007 07 10 00 00 00	-1000.00
2007 07 11 00 00 00	-1000.00
2007 07 12 00 00 00	-1000.00
2007 07 13 00 00 00	-1000.00
2007 07 14 00 00 00	-1000.00
2007 07 15 00 00 00	-1000.00
2007 07 16 00 00 00	-1000.00
2007 07 17 00 00 00	-1000.00
2007 07 18 00 00 00	-1000.00
2007 07 19 00 00 00	-1000.00
2007 07 20 00 00 00	-1000.00
2007 07 21 00 00 00	-1000.00
2007 07 22 00 00 00	-1000.00
2007 07 23 00 00 00	-1000.00
2007 07 24 00 00 00	-1000.00
2007 07 25 00 00 00	-1000.00
2007 07 26 00 00 00	-1000.00
2007 07 27 00 00 00	-1000.00
2007 07 28 00 00 00	-1000.00
2007 07 29 00 00 00	-1000.00
2007 07 30 00 00 00	-1000.00
2007 07 31 00 00 00	-1000.00
2007 08 01 00 00 00	-1000.00
2007 08 02 00 00 00	-1000.00
2007 08 03 00 00 00	-1000.00
2007 08 04 00 00 00	-1000.00
2007 08 05 00 00 00	-1000.00
2007 08 06 00 00 00	-1000.00
2007 08 07 00 00 00	-1000.00
2007 08 08 00 00 00	-1000.00
2007 08 09 00 00 00	-1000.00
2007 08 10 00 00 00	-1000.00
2007 08 11 00 00 00	-1000.00
2007 08 12 00 00 00	-1000.00
2007 08 13 00 00 00	-1000.00
2007 08 14 00 00 00	-1000.00
2007 08 15 00 00 00	-1000.00
2007 08 16 00 00 00	-1000.00
2007 08 17 00 00 00	-1000.00
2007 08 18 00 00 00	-1000.00
2007 08 19 00 00 00	-1000.00
2007 08 20 00 00 00	-1000.00
2007 08 21 00 00 00	-1000.00
2007 08 22 00 00 00	-1000.00
2007 08 23 00 00 00	-1000.00
2007 08 24 00 00 00	-1000.00
2007 08 25 00 00 00	-1000.00
2007 08 26 00 00 00	-1000.00
2007 08 27 00 00 00	-1000.00
2007 08 28 00 00 00	-1000.00
2007 08 29 00 00 00	28.12
2007 08 30 00 00 00	28.04
2007 08 31 00 00 00	27.76
2007 09 01 00 00 00	27.70
2007 09 02 00 00 00	27.97
2007 09 03 00 00 00	28.64
2007 09 04 00 00 00	29.16
2007 09 05 00 00 00	29.24
2007 09 06 00 00 00	29.24
2007 09 07 00 00 00	29.42
2007 09 08 00 00 00	-1000.00
2007 09 09 00 00 00	29.48
2007 09 10 00 00 00	29.20
2007 09 11 00 00 00	29.14
2007 09 12 00 00 00	28.99
2007 09 13 00 00 00	-1000.00
2007 09 14 00 00 00	-1000.00
2007 09 15 00 00 00	-1000.00
2007 09 16 00 00 00	27.69
2007 09 17 00 00 00	28.14
2007 09 18 00 00 00	27.44
2007 09 19 00 00 00	27.76
2007 09 20 00 00 00	28.09
2007 09 21 00 00 00	28.54
2007 09 22 00 00 00	28.66
2007 09 23 00 00 00	28.64
2007 09 24 00 00 00	28.68
2007 09 25 00 00 00	28.74
2007 09 26 00 00 00	28.66
2007 09 27 00 00 00	28.01
2007 09 28 00 00 00	27.47
2007 09 29 00 00 00	27.15
2007 09 30 00 00 00	28.02
2007 10 01 00 00 00	28.20
2007 10 02 00 00 00	28.22
2007 10 03 00 00 00	28.17
2007 10 04 00 00 00	28.27
2007 10 05 00 00 00	28.38
2007 10 06 00 00 00	28.07
2007 10 07 00 00 00	27.67
2007 10 08 00 00 00	27.11
2007 10 09 00 00 00	27.21
2007 10 10 00 00 00	27.50
2007 10 11 00 00 00	27.43
2007 10 12 00 00 00	27.24
2007 10 13 00 00 00	-1000.00
2007 10 14 00 00 00	27.33
2007 10 15 00 00 00	27.31
2007 10 16 00 00 00	26.57
2007 10 17 00 00 00	25.77
2007 10 18 00 00 00	25.89
2007 10 19 00 00 00	25.87
2007 10 20 00 00 00	26.15
2007 10 21 00 00 00	26.31
2007 10 22 00 00 00	26.32
2007 10 23 00 00 00	26.16
2007 10 24 00 00 00	26.18
2007 10 25 00 00 00	26.09
2007 10 26 00 00 00	26.01
2007 10 27 00 00 00	26.00
2007 10 28 00 00 00	25.96
2007 10 29 00 00 00	26.01
2007 10 30 00 00 00	26.04
2007 10 31 00 00 00	25.95
2007 11 01 00 00 00	25.97
2007 11 02 00 00 00	25.84
2007 11 03 00 00 00	-1000.00
2007 11 04 00 00 00	25.77
2007 11 05 00 00 00	25.87
2007 11 06 00 00 00	25.75
2007 11 07 00 00 00	25.66
2007 11 08 00 00 00	25.38
2007 11 09 00 00 00	25.29
2007 11 10 00 00 00	25.10
2007 11 11 00 00 00	24.90
2007 11 12 00 00 00	24.70
2007 11 13 00 00 00	24.73
2007 11 14 00 00 00	24.69
2007 11 15 00 00 00	24.59
2007 11 16 00 00 00	24.39
2007 11 17 00 00 00	24.53
2007 11 18 00 00 00	24.57
2007 11 19 00 00 00	24.68
2007 11 20 00 00 00	24.22
2007 11 21 00 00 00	23.86
2007 11 22 00 00 00	23.53
2007 11 23 00 00 00	23.41
2007 11 24 00 00 00	23.66
2007 11 25 00 00 00	23.53
2007 11 26 00 00 00	23.58
2007 11 27 00 00 00	23.45
2007 11 28 00 00 00	23.53
2007 11 29 00 00 00	23.32
2007 11 30 00 00 00	23.28
2007 12 01 00 00 00	23.17
2007 12 02 00 00 00	22.90
2007 12 03 00 00 00	22.92
2007 12 04 00 00 00	22.92
2007 12 05 00 00 00	22.72
2007 12 06 00 00 00	22.53
2007 12 07 00 00 00	22.00
2007 12 08 00 00 00	21.72
2007 12 09 00 00 00	21.74
2007 12 10 00 00 00	21.46
2007 12 11 00 00 00	21.55
2007 12 12 00 00 00	21.60
2007 12 13 00 00 00	21.81
2007 12 14 00 00 00	21.43
2007 12 15 00 00 00	21.34
2007 12 16 00 00 00	21.33
2007 12 17 00 00 00	21.23
2007 12 18 00 00 00	21.10
2007 12 19 00 00 00	21.03
2007 12 20 00 00 00	21.11
2007 12 21 00 00 00	20.62
2007 12 22 00 00 00	20.72
2007 12 23 00 00 00	20.98
2007 12 24 00 00 00	20.77
2007 12 25 00 00 00	20.96
2007 12 26 00 00 00	20.85
2007 12 27 00 00 00	20.75
2007 12 28 00 00 00	20.11
2007 12 29 00 00 00	-1000.00
2007 12 30 00 00 00	20.20
2007 12 31 00 00 00	20.17
2008 01 01 00 00 00	20.14
2008 01 02 00 00 00	20.05
2008 01 03 00 00 00	19.96
2008 01 04 00 00 00	19.79
2008 01 05 00 00 00	19.89
2008 01 06 00 00 00	19.61
2008 01 07 00 00 00	19.56
2008 01 08 00 00 00	19.41
2008 01 09 00 00 00	19.55
2008 01 10 00 00 00	19.23
2008 01 11 00 00 00	19.06
2008 01 12 00 00 00	18.71
2008 01 13 00 00 00	18.77
2008 01 14 00 00 00	18.61
2008 01 15 00 00 00	18.60
2008 01 16 00 00 00	18.30
2008 01 17 00 00 00	17.81
2008 01 18 00 00 00	17.62
2008 01 19 00 00 00	17.84
2008 01 20 00 00 00	18.04
2008 01 21 00 00 00	17.76
2008 01 22 00 00 00	17.81
2008 01 23 00 00 00	17.74
2008 01 24 00 00 00	17.77
2008 01 25 00 00 00	18.03
2008 01 26 00 00 00	18.02
2008 01 27 00 00 00	18.01
2008 01 28 00 00 00	17.93
2008 01 29 00 00 00	17.29
2008 01 30 00 00 00	17.00
2008 01 31 00 00 00	16.59
2008 02 01 00 00 00	17.17
2008 02 02 00 00 00	17.30
2008 02 03 00 00 00	17.18
2008 02 04 00 00 00	17.41
2008 02 05 00 00 00	17.31
2008 02 06 00 00 00	17.19
2008 02 07 00 00 00	17.28
2008 02 08 00 00 00	17.68
2008 02 09 00 00 00	17.77
2008 02 10 00 00 00	17.67
2008 02 11 00 00 00	17.66
2008 02 12 00 00 00	17.70
2008 02 13 00 00 00	17.67
2008 02 14 00 00 00	17.52
2008 02 15 00 00 00	17.40
2008 02 16 00 00 00	17.24
2008 02 17 00 00 00	17.27
2008 02 18 00 00 00	17.05
2008 02 19 00 00 00	16.64
2008 02 20 00 00 00	16.48
2008 02 21 00 00 00	16.48
2008 02 22 00 00 00	16.57
2008 02 23 00 00 00	16.76
2008 02 24 00 00 00	16.89
2008 02 25 00 00 00	17.26
2008 02 26 00 00 00	17.03
2008 02 27 00 00 00	17.29
2008 02 28 00 00 00	17.40
2008 02 29 00 00 00	17.29
2008 03 01 00 00 00	17.26
2008 03 02 00 00 00	17.55
2008 03 03 00 00 00	17.60
2008 03 04 00 00 00	17.75
2008 03 05 00 00 00	17.66
2008 03 06 00 00 00	17.67
2008 03 07 00 00 00	17.66
2008 03 08 00 00 00	-1000.00
2008 03 09 00 00 00	17.51
2008 03 10 00 00 00	17.53
2008 03 11 00 00 00	17.74
2008 03 12 00 00 00	17.52
2008 03 13 00 00 00	17.49
2008 03 14 00 00 00	18.14
2008 03 15 00 00 00	18.04
2008 03 16 00 00 00	18.06
2008 03 17 00 00 00	17.97
2008 03 18 00 00 00	18.05
2008 03 19 00 00 00	18.21
2008 03 20 00 00 00	-1000.00
2008 03 21 00 00 00	-1000.00
2008 03 22 00 00 00	-1000.00
2008 03 23 00 00 00	18.74
2008 03 24 00 00 00	18.78
2008 03 25 00 00 00	18.87
2008 03 26 00 00 00	18.62
2008 03 27 00 00 00	18.59
2008 03 28 00 00 00	18.92
2008 03 29 00 00 00	18.69
2008 03 30 00 00 00	18.52
2008 03 31 00 00 00	18.99
2008 04 01 00 00 00	19.45
2008 04 02 00 00 00	19.43
2008 04 03 00 00 00	19.28
2008 04 04 00 00 00	19.51
2008 04 05 00 00 00	19.58
2008 04 06 00 00 00	19.43
2008 04 07 00 00 00	19.62
2008 04 08 00 00 00	19.79
2008 04 09 00 00 00	19.98
2008 04 10 00 00 00	20.01
2008 04 11 00 00 00	20.12
2008 04 12 00 00 00	20.02
2008 04 13 00 00 00	19.73
2008 04 14 00 00 00	19.17
2008 04 15 00 00 00	19.36
2008 04 16 00 00 00	20.25
2008 04 17 00 00 00	20.78
2008 04 18 00 00 00	20.60
2008 04 19 00 00 00	20.44
2008 04 20 00 00 00	20.34
2008 04 21 00 00 00	20.35
2008 04 22 00 00 00	20.07
2008 04 23 00 00 00	20.08
2008 04 24 00 00 00	19.83
2008 04 25 00 00 00	-1000.00
2008 04 26 00 00 00	20.10
2008 04 27 00 00 00	20.07
2008 04 28 00 00 00	20.42
2008 04 29 00 00 00	20.03
2008 04 30 00 00 00	20.35
2008 05 01 00 00 00	20.72
2008 05 02 00 00 00	20.88
2008 05 03 00 00 00	21.04
2008 05 04 00 00 00	-1000.00
2008 05 05 00 00 00	21.67
2008 05 06 00 00 00	20.84
2008 05 07 00 00 00	21.47
2008 05 08 00 00 00	21.73
2008 05 09 00 00 00	21.84
2008 05 10 00 00 00	22.02
2008 05 11 00 00 00	21.87
2008 05 12 00 00 00	21.50
2008 05 13 00 00 00	20.29
2008 05 14 00 00 00	19.61
2008 05 15 00 00 00	19.74
2008 05 16 00 00 00	20.52
2008 05 17 00 00 00	21.14
2008 05 18 00 00 00	20.77
2008 05 19 00 00 00	21.01
2008 05 20 00 00 00	20.39
2008 05 21 00 00 00	20.36
2008 05 22 00 00 00	20.82
2008 05 23 00 00 00	21.14
2008 05 24 00 00 00	21.49
2008 05 25 00 00 00	22.01
2008 05 26 00 00 00	22.53
2008 05 27 00 00 00	22.79
2008 05 28 00 00 00	22.82
2008 05 29 00 00 00	22.51
2008 05 30 00 00 00	22.31
2008 05 31 00 00 00	-1000.00
2008 06 01 00 00 00	23.20
2008 06 02 00 00 00	23.53
2008 06 03 00 00 00	23.41
2008 06 04 00 00 00	24.09
2008 06 05 00 00 00	23.70
2008 06 06 00 00 00	22.95
2008 06 07 00 00 00	23.21
2008 06 08 00 00 00	23.36
