%Date	Daily Average Bottom Temperaure C (deg)-26 m. depth
2004 07 06 00 00 00	25.87
2004 07 07 00 00 00	26.56
2004 07 08 00 00 00	26.83
2004 07 09 00 00 00	27.31
2004 07 10 00 00 00	27.84
2004 07 11 00 00 00	27.71
2004 07 12 00 00 00	27.73
2004 07 13 00 00 00	27.61
2004 07 14 00 00 00	27.93
2004 07 15 00 00 00	28.46
2004 07 16 00 00 00	27.39
2004 07 17 00 00 00	26.75
2004 07 18 00 00 00	27.00
2004 07 19 00 00 00	26.40
2004 07 20 00 00 00	26.62
2004 07 21 00 00 00	26.92
2004 07 22 00 00 00	28.06
2004 07 23 00 00 00	28.47
2004 07 24 00 00 00	28.08
2004 07 25 00 00 00	28.34
2004 07 26 00 00 00	27.88
2004 07 27 00 00 00	28.39
2004 07 28 00 00 00	28.53
2004 07 29 00 00 00	29.12
2004 07 30 00 00 00	27.71
2004 07 31 00 00 00	27.40
2004 08 01 00 00 00	27.96
2004 08 02 00 00 00	28.24
2004 08 03 00 00 00	28.64
2004 08 04 00 00 00	29.15
2004 08 05 00 00 00	28.92
2004 08 06 00 00 00	28.62
2004 08 07 00 00 00	28.61
2004 08 08 00 00 00	28.84
2004 08 09 00 00 00	28.53
2004 08 10 00 00 00	29.07
2004 08 11 00 00 00	29.05
2004 08 12 00 00 00	28.95
2004 08 13 00 00 00	28.79
2004 08 14 00 00 00	28.91
2004 08 15 00 00 00	29.35
2004 08 16 00 00 00	29.43
2004 08 17 00 00 00	28.89
2004 08 18 00 00 00	28.96
2004 08 19 00 00 00	27.61
2004 08 20 00 00 00	27.71
2004 08 21 00 00 00	28.51
2004 08 22 00 00 00	28.96
2004 08 23 00 00 00	29.35
2004 08 24 00 00 00	28.61
2004 08 25 00 00 00	28.50
2004 08 26 00 00 00	28.83
2004 08 27 00 00 00	29.02
2004 08 28 00 00 00	29.48
2004 08 29 00 00 00	29.36
2004 08 30 00 00 00	28.94
2004 08 31 00 00 00	28.49
2004 09 01 00 00 00	28.80
2004 09 02 00 00 00	28.85
2004 09 03 00 00 00	29.23
2004 09 04 00 00 00	28.84
2004 09 05 00 00 00	29.05
2004 09 06 00 00 00	29.06
2004 09 07 00 00 00	28.63
2004 09 08 00 00 00	27.83
2004 09 09 00 00 00	27.65
2004 09 10 00 00 00	28.09
2004 09 11 00 00 00	28.48
2004 09 12 00 00 00	28.31
2004 09 13 00 00 00	28.04
2004 09 14 00 00 00	28.14
2004 09 15 00 00 00	28.06
2004 09 16 00 00 00	27.76
2004 09 17 00 00 00	27.94
2004 09 18 00 00 00	27.98
2004 09 19 00 00 00	27.78
2004 09 20 00 00 00	27.66
2004 09 21 00 00 00	27.65
2004 09 22 00 00 00	27.77
2004 09 23 00 00 00	27.79
2004 09 24 00 00 00	27.86
2004 09 25 00 00 00	27.47
2004 09 26 00 00 00	27.09
2004 09 27 00 00 00	26.98
2004 09 28 00 00 00	25.99
2004 09 29 00 00 00	24.83
2004 09 30 00 00 00	24.33
2004 10 01 00 00 00	24.71
2004 10 02 00 00 00	26.80
2004 10 03 00 00 00	27.47
2004 10 04 00 00 00	27.48
2004 10 05 00 00 00	27.45
2004 10 06 00 00 00	27.41
2004 10 07 00 00 00	27.30
2004 10 08 00 00 00	27.31
2004 10 09 00 00 00	27.26
2004 10 10 00 00 00	27.20
2004 10 11 00 00 00	27.02
2004 10 12 00 00 00	26.91
2004 10 13 00 00 00	26.92
2004 10 14 00 00 00	26.93
2004 10 15 00 00 00	26.85
2004 10 16 00 00 00	26.80
2004 10 17 00 00 00	26.77
2004 10 18 00 00 00	26.29
2004 10 19 00 00 00	26.17
2004 10 20 00 00 00	26.41
2004 10 21 00 00 00	26.64
2004 10 22 00 00 00	26.58
2004 10 23 00 00 00	26.61
2004 10 24 00 00 00	26.55
2004 10 25 00 00 00	26.11
2004 10 26 00 00 00	25.90
2004 10 27 00 00 00	26.14
2004 10 28 00 00 00	26.23
2004 10 29 00 00 00	26.24
2004 10 30 00 00 00	26.21
2004 10 31 00 00 00	26.16
2004 11 01 00 00 00	25.73
2004 11 02 00 00 00	25.11
2004 11 03 00 00 00	23.14
2004 11 04 00 00 00	23.68
2004 11 05 00 00 00	24.59
2004 11 06 00 00 00	24.60
2004 11 07 00 00 00	24.25
2004 11 08 00 00 00	24.85
2004 11 09 00 00 00	24.88
2004 11 10 00 00 00	24.90
2004 11 11 00 00 00	23.98
2004 11 12 00 00 00	21.54
2004 11 13 00 00 00	21.85
2004 11 14 00 00 00	22.18
2004 11 15 00 00 00	22.53
2004 11 16 00 00 00	23.83
2004 11 17 00 00 00	24.00
2004 11 18 00 00 00	23.91
2004 11 19 00 00 00	24.12
2004 11 20 00 00 00	24.02
2004 11 21 00 00 00	23.81
2004 11 22 00 00 00	23.32
2004 11 23 00 00 00	22.45
2004 11 24 00 00 00	22.78
2004 11 25 00 00 00	22.84
2004 11 26 00 00 00	22.68
2004 11 27 00 00 00	22.03
2004 11 28 00 00 00	22.26
