"model_name","AIC","delta"
"8","co_int",35946.9400693897,529.759150563179
"model_name","AIC","delta"
"1","co_1",62629.7993312601,0
"2","co_1_int",62637.0212385257,7.22190726565896
"3","co",62668.7184778032,38.9191465431577
"4","co_int",62677.3534250004,47.5540937403784
"5","co_3",62932.0325392608,302.233208000747
"6","co_3_int",62932.410430388,302.611099127971
"7","co_5",63673.0294393659,1043.23010810582
"8","co_5_int",63673.0656058454,1043.26627458534
"model_name","AIC","delta"
"1","co_1_int",26904.7931592144,0
"2","co_1",26908.5799433906,3.7867841762054
"3","co_int",27012.0406680777,107.247508863231
"4","co",27016.7900006875,111.996841473068
"5","co_3_int",27018.1936928002,113.400533585795
"6","co_3",27018.9335856041,114.140426389666
"7","co_5",27540.8604690688,636.067309854345
"8","co_5_int",27541.4825815692,636.689422354782
"model_name","AIC","delta"
"1","co_3_int",48046.4316933509,0
"2","co_3",48095.7150335142,49.2833401633034
"3","co_5_int",48166.7372616429,120.305568292053
"4","co_5",48181.446133225,135.01443987419
"5","co_1_int",48482.3349039334,435.903210582561
"6","co_1",48575.9643548819,529.532661531084
"7","co_int",48884.7972534054,838.365560054517
"8","co",48997.7291077261,951.297414375273
"model_name","AIC","delta"
"1","co_3_int",35882.5066506676,0
"2","co_3",35885.0591134448,2.5524627772902
"3","co_5",36061.9666325834,179.459981915847
"4","co_5_int",36066.673549478,184.166898810494
"5","co_1_int",36177.0272576856,294.520607018021
"6","co_1",36190.8523324085,308.34568174099
"7","co_int",36491.209570593,608.702919925439
"8","co",36506.2704627168,623.763812049241
"model_name","AIC","delta"
"1","co_3",43546.8940998117,0
"2","co_3_int",43568.1970227492,21.3029229375097
"3","co_5",43774.5021195602,227.608019748513
"4","co_5_int",43783.3414739712,236.44737415955
"5","co_1",43794.4296106157,247.535510804031
"6","co_1_int",43828.0376386044,281.143538792763
"7","co",44083.4858447922,536.591744980542
"8","co_int",44126.4966979348,579.602598123121
"model_name","AIC","delta"
"1","co_1_int",22931.2306682736,0
"2","co_1",22952.8042561475,21.5735878738633
"3","co_int",23026.9858827088,95.7552144351284
"4","co_3_int",23027.5168694965,96.2862012229016
"5","co_3",23036.775755311,105.545087037397
"6","co",23057.6004526993,126.369784425682
"7","co_5",23484.8766560715,553.645987797834
"8","co_5_int",23485.9658289667,554.735160693079
