"","Year","YearT"
"1","1994",22.7063864684777
"2","1995",22.6075584064821
"3","1996",23.5034284959027
"4","1997",22.642389274599
"5","1998",23.4005098272781
"6","1999",23.7867781224865
"7","2000",23.0533963338267
"8","2001",24.03106400665
"9","2002",23.5213316408955
"10","2003",23.3753920664207
