" ""Arg""",AIC,delta,,,,,,,,
5,co_5_int,28708.90361,241.707034,,,,,,,
6,co_5,28717.70472,250.5081452,,,,,,,
7,co_int,28817.11905,349.9224755,,,,,,,
8,co,28879.53878,412.3422093,,,,,,,
"""SAR""",AIC,delta,,,,,,,,
1,co_3,40368.41147,0,,,,,,,
2,co_3_int,40372.62537,4.213906981,,,,,,,
3,co_1,40541.16128,172.7498175,,,,,,,
4,co_1_int,40557.33038,188.9189087,,,,,,,
5,co_5,40665.49575,297.0842842,,,,,,,
6,co_5_int,40665.59719,297.1857211,,,,,,,
7,co,40799.79613,431.384666,,,,,,,
8,co_int,40815.40456,446.9930935,,,,,,,
"""Sco""",AIC,delta,,,,,,,,
1,co_3,41968.72891,0,,,,,,,
2,co_3_int,42001.19519,32.46627387,,,,,,,
3,co_5,42032.12638,63.3974654,,,,,,,
4,co_5_int,42049.36899,80.64007554,,,,,,,
5,co_1,42398.4632,429.7342892,,,,,,,
6,co_1_int,42442.67711,473.948201,,,,,,,
7,co,42769.58408,800.8551685,,,,,,,
8,co_int,42818.38205,849.6531383,,,,,,,
"""Sd""",AIC,delta,,,,,,,,
1,co_1,31028.73197,0,,,,,,,
2,co_1_int,31032.49795,3.76597897,,,,,,,
3,co,31122.2886,93.55663173,,,,,,,
4,co_int,31124.83034,96.09837033,,,,,,,
5,co_3,31231.96022,203.2282539,,,,,,,
6,co_3_int,31233.55385,204.8218773,,,,,,,
7,co_5_int,31889.57705,860.8450807,,,,,,,
8,co_5,31889.57722,860.8452486,,,,,,,
"""Sja""",AIC,delta,,,,,,,,
1,co_3,35417.18092,0,,,,,,,
2,co_3_int,35420.384,3.203077401,,,,,,,
3,co_5_int,35520.71145,103.5305294,,,,,,,
4,co_5,35520.7118,103.5308851,,,,,,,
5,co_1,35688.11055,270.9296291,,,,,,,
6,co_1_int,35690.16134,272.9804251,,,,,,,
7,co,35940.67568,523.4947583,,,,,,,
8,co_int,35946.94007,529.7591506,,,,,,,
"""SPH""",AIC,delta,,,,,,,,
1,co_1,62629.79933,0,,,,,,,
2,co_1_int,62637.02124,7.221907266,,,,,,,
3,co,62668.71848,38.91914654,,,,,,,
4,co_int,62677.35343,47.55409374,,,,,,,
5,co_3,62932.03254,302.233208,,,,,,,
6,co_3_int,62932.41043,302.6110991,,,,,,,
7,co_5,63673.02944,1043.230108,,,,,,,
8,co_5_int,63673.06561,1043.266275,,,,,,,
"""Ssi""",AIC,delta,,,,,,,,
1,co_1_int,26904.79316,0,,,,,,,
2,co_1,26908.57994,3.786784176,,,,,,,
3,co_int,27012.04067,107.2475089,,,,,,,
4,co,27016.79,111.9968415,,,,,,,
5,co_3_int,27018.19369,113.4005336,,,,,,,
6,co_3,27018.93359,114.1404264,,,,,,,
7,co_5,27540.86047,636.0673099,,,,,,,
8,co_5_int,27541.48258,636.6894224,,,,,,,
"""Sud""",AIC,delta,,,,,,,,
1,co_3_int,48046.43169,0,,,,,,,
2,co_3,48095.71503,49.28334016,,,,,,,
3,co_5_int,48166.73726,120.3055683,,,,,,,
4,co_5,48181.44613,135.0144399,,,,,,,
5,co_1_int,48482.3349,435.9032106,,,,,,,
6,co_1,48575.96435,529.5326615,,,,,,,
7,co_int,48884.79725,838.3655601,,,,,,,
8,co,48997.72911,951.2974144,,,,,,,
"""TRA""",AIC,delta,,,,,,,,
