"","Year","YearT"
"1","2004",22.5521169916435
"2","2005",22.5773607038123
"3","2006",22.7035608308605
"4","2007",21.7398275862069
"5","2008",23.1955459770115
"6","2009",23.3883076923077
"7","2010",23.0296126760563
"8","2011",23.1016208791209
"9","2012",22.984213836478
"10","2013",23.6372676056338
"11","2014",23.5145555555556
"12","2015",22.9489285714286
"13","2016",23.3719943019943
"14","2017",23.336620498615
"15","2018",23.455078369906
